"","name","degree","degree_in","degree_out","eigen","community"
"970","Kristen Ganjoo",1,0,1,0,"5"
"971","Kuban State Medical University",2,0,2,0,"83"
"972","Kutahya Health Sciences University",2,0,2,0,"14"
"973","Kyoto Breast Cancer Research Network",2,1,1,0,"5"
"974","Kyung Hee University Hospital at Gangdong",5,3,2,8.32879292661883e-15,"25"
"975","Kyunghee University Medical Center",2,1,1,2.97972637367434e-14,"25"
"976","Kyungpook National University Chilgok Hospital",2,0,2,0,"25"
"977","Kyungpook National University Hospital",14,4,10,7.3329302458102e-14,"25"
"978","Laboratorio Pablo Cassará S.R.L.",5,0,5,0,"147"
"979","Lahey Clinic",2,0,2,0,"7"
"980","Lancaster University",2,1,1,0,"108"
"981","Larissa University Hospital",3,1,2,0,"180"
"982","Latin American & Caribbean Society of Medical Oncology",1,0,1,0,"7"
"983","Latin American Cooperative Oncology Group",12,2,10,0.000486293909365579,"5"
"984","Laura Esserman",2,0,2,0,"11"
"985","Laura Huppert, MD, BA",1,0,1,0,"181"
"986","Laura Kennedy",1,0,1,0,"7"
"987","Laura M. Spring, MD",3,0,3,0,"11"
"988","Lauren Nye",2,0,2,0,"7"
"989","Laval University",2,1,1,7.72475580835919e-09,"6"
"990","Lawrence Fong",1,0,1,0,"182"
"991","Lawson Health Research Institute",12,1,11,6.85585396514908e-05,"6"
"992","Leanne Kaye",2,0,2,0,"7"
"993","Leap Therapeutics, Inc.",3,1,2,0.000163696349131041,"5"
"994","Lee's Pharmaceutical Limited",1,0,1,0,"183"
"995","Leiden University",7,0,7,0,"16"
"996","Leiden University Medical Center",31,8,23,1.03384456694813e-05,"16"
"997","Leo W. Jenkins Cancer Center",1,0,1,0,"7"
"998","Lewai Sharki Abdulaziz, MSc PhD",2,0,2,0,"184"
"999","LiNanlin,Ph.D, Chief Physician,Clinical Professor",1,0,1,0,"5"
"1000","Liangjun Zhu M.M.",1,0,1,0,"185"
"1001","Liaoning Tumor Hospital & Institute",17,13,4,1.69063302366451e-09,"1"
"1002","Life University",1,0,1,0,"16"
"1003","Lightpoint Medical Limited",4,0,4,0,"28"
"1004","Lille Catholic University",1,0,1,0,"17"
"1005","Lin Chen",1,0,1,0,"1"
"1006","Lindenhofgruppe AG",3,1,2,0,"43"
"1007","Linkoeping University",12,4,8,2.98901174984113e-09,"13"
"1008","Lion TCR Pte. Ltd.",6,2,4,3.63816733452853e-12,"1"
"1009","Lisa Bax",2,0,2,0,"5"
"1010","Lisa H. Butterfield, Ph.D.",1,0,1,0,"7"
"1011","Lisette Nixon",1,0,1,0,"28"
"1012","Liverpool University Hospitals NHS Foundation Trust",2,1,1,3.54426458057564e-09,"10"
"1013","Liz-Anne Lewsley",3,0,3,0,"24"
"1014","Louisiana State University Health Sciences Center Shreveport",1,0,1,0,"7"
"1015","Loxo Oncology, Inc.",2,1,1,2.36304673151418e-05,"5"
"1016","Loyola University",8,2,6,1.3415829416815e-07,"11"
"1017","LuZhe Sun",1,0,1,0,"7"
"1018","Ludwig Institute for Cancer Research",6,3,3,2.62457024828029e-06,"5"
"1019","Ludwig-Maximilians - University of Munich",19,4,15,2.9103254282824e-09,"5"
"1020","Lukas Biomedical Inc.",1,0,1,0,"186"
"1021","LumaMed",1,0,1,0,"7"
"1022","Lumicell, Inc.",3,0,3,0,"7"
"1023","Lund University",15,9,6,5.42525143182057e-08,"13"
"1024","Lund University Hospital",10,4,6,2.15516780552856e-07,"13"
"1025","Luxembourg Institute of Health",3,0,3,0,"10"
"1026","Lyell McEwin Hospital",1,0,1,0,"21"
"1027","Lynn Feun, MD",1,0,1,0,"11"
"1028","Lytix Biopharma AS",1,0,1,0,"187"
"1029","M.D. Anderson Cancer Center",95,27,68,6.65847946385752e-05,"7"
"1030","MANTA 1 Study Italian Collaborative Group",1,0,1,0,"5"
"1031","MBQ Pharma",1,0,1,0,"188"
"1032","MUnlu",1,0,1,0,"189"
"1033","MVG Industries SAS",1,0,1,0,"190"
"1034","Maastricht Radiation Oncology",26,0,26,0,"16"
"1035","Maastricht University Medical Center",25,5,20,1.94577630326794e-06,"16"
"1036","Mackay Medical College",1,0,1,0,"77"
"1037","Mackay Memorial Hospital",7,6,1,1.19295757445417e-08,"77"
"1038","MacroGenics",7,2,5,6.68836343249417e-06,"11"
"1039","Mahidol University",3,1,2,0,"191"
"1040","Mahmoud Ramadan mohamed Elkazzaz",1,0,1,0,"192"
"1041","Maidstone & Tunbridge Wells NHS Trust",1,0,1,0,"193"
"1042","Maimónides Biomedical Research Institute of Córdoba",3,0,3,0,"194"
"1043","Main Line Health",1,0,1,0,"195"
"1044","Maisonneuve-Rosemont Hospital",3,1,2,9.88521546654416e-12,"6"
"1045","Makerere University",1,0,1,0,"196"
"1046","Malmö University",2,0,2,0,"13"
"1047","Manchester University NHS Foundation Trust",15,3,12,8.81159781460352e-05,"28"
"1048","Mansoura University",7,3,4,9.24606632014854e-09,"10"
"1049","Manuela Eicher",2,0,2,0,"43"
"1050","Mara Chambers",1,0,1,0,"5"
"1051","Margaret Tempero",2,0,2,0,"11"
"1052","Margie McNeely",1,0,1,0,"6"
"1053","Maria Charalampopoulou",3,0,3,0,"197"
"1054","Maria Jesus Perez",1,0,1,0,"24"
"1055","Maria Liljefors",3,0,3,0,"13"
"1056","Maria Sklodowska-Curie National Research Institute of Oncology",13,6,7,5.6982570191888e-08,"19"
"1057","Maria dels Angels Cebria i Iranzo, PT, PhD",1,0,1,0,"198"
"1058","Marina N Sharifi",2,0,2,0,"5"
"1059","Mario Negri Institute for Pharmacological Research",11,2,9,1.26563454272257e-05,"10"
"1060","Mark A Hull, PhD FRCP",2,0,2,0,"28"
"1061","Mark Dewhirst",2,0,2,0,"7"
"1062","Mark Evers",1,0,1,0,"7"
"1063","Marmara University",21,1,20,0,"14"
"1064","Martin-Luther-Universität Halle-Wittenberg",4,2,2,4.75834430588856e-11,"16"
"1065","Mary D Chamberlin",1,0,1,0,"7"
"1066","Mary Feng, MD",1,0,1,0,"5"
"1067","Mashhad University of Medical Sciences",1,0,1,0,"199"
"1068","Masonic Cancer Center, University of Minnesota",5,0,5,0,"7"
"1069","Massachusetts Eye and Ear Infirmary",3,0,3,0,"11"
"1070","Massachusetts General Hospital",74,22,52,0.00028273701443027,"11"
"1071","Mast Therapeutics, Inc.",1,0,1,0,"7"
"1072","Mater Misericordiae University Hospital",14,1,13,1.44849952111814e-19,"6"
"1073","Materno-Perinatal Hospital of the State of Mexico",1,0,1,0,"200"
"1074","Max Sung",1,0,1,0,"7"
"1075","Maxim Pharmaceuticals",1,0,1,0,"7"
"1076","Maxygen Holdings Ltd.",3,0,3,0,"5"
"1077","Mayo Clinic",29,16,13,0.000143633133557334,"7"
"1078","McGill University",5,3,2,2.65094926457758e-06,"6"
"1079","McGill University Health Centre/Research Institute of the McGill University Health Centre",13,4,9,1.8013359962058e-06,"6"
"1080","McMaster University",12,4,8,4.64885298548285e-05,"6"
"1081","Meabco A/S",2,0,2,0,"201"
"1082","MedInnovation GmbH",1,0,1,0,"202"
"1083","MedSIR",10,1,9,0,"5"
"1084","Medical College and Hospital Kolkata",1,0,1,0,"203"
"1085","Medical College of Wisconsin",19,6,13,6.0345547900727e-06,"7"
"1086","Medical Oncology & Hematology Associates of Northern Virginia",1,0,1,0,"7"
"1087","Medical Park Gaziantep Hospital",2,0,2,0,"204"
"1088","Medical Research Council",8,5,3,0.000163752729259608,"5"
"1089","Medical University of Graz",10,5,5,1.06002911873327e-07,"10"
"1090","Medical University of Lublin",7,2,5,0,"19"
"1091","Medical University of South Carolina",7,2,5,0,"7"
"1092","Medical University of Vienna",8,7,1,5.12092396686052e-08,"10"
"1093","Medical University of Warsaw",8,1,7,0,"19"
"1094","MedicalExcellence",3,0,3,0,"25"
"1095","Medicina e Arte Onlus",6,0,6,0,"205"
"1096","Medicos e Investigadores en la Lucha contra el Cancer de Mama",1,0,1,0,"5"
"1097","Medizinische Hochschule Brandenburg Theodor Fontane",1,0,1,0,"206"
"1098","Medstar Health Research Institute",7,3,4,2.88568749283446e-06,"7"
"1099","Medtronic - MITG",7,3,4,2.69619511074622e-07,"7"
"1100","Meir Medical Center",2,0,2,0,"4"
"1101","Melanoma Institute Australia",4,1,3,2.22538179803333e-11,"11"
"1102","Melanoma and Skin Cancer Trials Limited",10,1,9,8.79769366727634e-10,"21"
"1103","MelanomaPRO, Russia",1,0,1,0,"5"
"1104","Melinda Telli",2,0,2,0,"5"
"1105","Melissa K Accordino",1,0,1,0,"5"
"1106","Memorial Sloan Kettering Cancer Center",208,12,196,0.000101198398398209,"7"
"1107","Menarini Silicon Biosystems, INC",1,0,1,0,"207"
"1108","Meng Chao Hepatobiliary Hospital of Fujian Medical University",4,3,1,1.83597349170228e-10,"1"
"1109","Menssana Research, Inc.",3,0,3,0,"21"
"1110","Merck KGaA, Darmstadt, Germany",18,16,2,0.00113577542841394,"5"
"1111","Merck Sharp & Dohme LLC",140,136,4,0.003526527490112,"11"
"1112","Mercy Medical Center",2,0,2,0,"7"
"1113","Mercy Research",4,0,4,0,"208"
"1114","Meridian Bioscience, Inc.",5,0,5,0,"7"
"1115","Merrimack Pharmaceuticals",1,0,1,0,"5"
"1116","MiCareo Taiwan Co., Ltd.",1,0,1,0,"77"
"1117","Michael Bau Mortensen",1,0,1,0,"13"
"1118","Michael Livingston",1,0,1,0,"6"
"1119","Michael Morse, MD",2,0,2,0,"7"
"1120","Michael O'Connor",1,0,1,0,"11"
"1121","Michael Simon",1,0,1,0,"7"
"1122","Michel Adamina, MD",5,0,5,0,"43"
"1123","Michel Conte, M.D.",1,0,1,0,"209"
"1124","Michelle Mossa",2,0,2,0,"28"
"1125","Michigan State University",1,0,1,0,"7"
"1126","Microelastic Ultrasound Systems Inc",1,0,1,0,"210"
"1127","Mid-Atlantic Oncology Program",1,0,1,0,"211"
"1128","Midwest Biomedical Research Foundation",6,0,6,0,"7"
"1129","Miguel Martín Jiménez",4,0,4,0,"24"
"1130","Military Institute od Medicine National Research Institute",1,0,1,0,"19"
"1131","Military University Hospital, Prague",4,1,3,0,"60"
"1132","Milton S. Hershey Medical Center",7,1,6,2.55981946377371e-06,"7"
"1133","Ministry of Health, Saudi Arabia",2,1,1,0,"192"
"1134","Ministry of Science and Technology of the People´s Republic of China",2,1,1,1.15085068621725e-11,"1"
"1135","Minneamrita Therapeutics LLC",7,0,7,0,"11"
"1136","Mirai Medical",1,0,1,0,"28"
"1137","ModernaTX, Inc.",2,1,1,0,"11"
"1138","Mohammed Milhem",1,0,1,0,"5"
"1139","Moletest Scotland Ltd",2,0,2,0,"24"
"1140","Mona Salem",1,0,1,0,"212"
"1141","Monash University",2,1,1,2.55981946377419e-06,"7"
"1142","Monica Mita",1,0,1,0,"11"
"1143","Montefiore Medical Center",7,3,4,1.64390601084766e-08,"30"
"1144","Montreal General Hospital",3,2,1,4.55940733145069e-08,"6"
"1145","Moroccan Society of Surgery",5,0,5,0,"213"
"1146","Morten Ladekarl",5,0,5,0,"13"
"1147","Morten Mau-Soerensen",5,0,5,0,"17"
"1148","Morten Mau-Sørensen",3,0,3,0,"13"
"1149","Moscow Clinical Scientific Center",9,1,8,3.5442645806527e-09,"10"
"1150","Mothaffar Rimawi",3,0,3,0,"46"
"1151","Mount Sinai Hospital, Canada",3,1,2,6.85585396514903e-05,"6"
"1152","Mridula George, MD",3,0,3,0,"5"
"1153","Mt. Sinai Medical Center, Miami",1,0,1,0,"5"
"1154","MyGenostics Inc., Beijing",1,0,1,0,"1"
"1155","Mylan Inc.",1,0,1,0,"214"
"1156","Mylin A. Torres, MD",3,0,3,0,"7"
"1157","NBE-Therapeutics AG",1,0,1,0,"215"
"1158","NCIC Clinical Trials Group",32,14,18,0.120292930656444,"7"
"1159","NESLISAH YASAR KARTAL",1,0,1,0,"216"
"1160","NHS Grampian",7,1,6,0,"28"
"1161","NHS Greater Glasgow and Clyde",8,2,6,0,"24"
"1162","NHS Lothian",3,2,1,0,"28"
"1163","NHS Tayside",2,1,1,0,"24"
"1164","NRG Oncology",11,6,5,0.479661314805067,"7"
"1165","NSABP Foundation Inc",42,14,28,0.0959188203908289,"7"
"1166","NYU Langone Health",17,5,12,3.48316962241009e-05,"7"
"1167","Nabeel Badri",1,0,1,0,"217"
"1168","Nadeem Iqbal",2,0,2,0,"218"
"1169","Naestved Hospital",4,1,3,9.24606632043698e-09,"13"
"1170","Nagoya University",1,0,1,0,"11"
"1171","Nalagenetics Pte Ltd",3,0,3,0,"219"
"1172","Namida Lab",1,0,1,0,"7"
"1173","Nancy Chan, MD",1,0,1,0,"11"
"1174","Nancy Lin, MD",3,0,3,0,"5"
"1175","Nanfang Hospital, Southern Medical University",29,17,12,1.55331590898946e-09,"1"
"1176","Nanjing NingQi Medicine Science and Technology Co., Ltd.",1,0,1,0,"1"
"1177","NanoCarrier Co., Ltd.",2,1,1,0,"220"
"1178","NanoString Technologies, Inc.",13,6,7,0.000117163289277368,"11"
"1179","Nanobiotix",1,0,1,0,"221"
"1180","Nanogen Pharmaceutical Biotechnology Joint Stock Company",2,0,2,0,"222"
"1181","NantCell, Inc.",1,0,1,0,"25"
"1182","Nantes University Hospital",14,1,13,0,"5"
"1183","Nathan Bahary, MD",2,0,2,0,"5"
"1184","National Cancer Center Hospital East",8,1,7,1.6593398993703e-06,"11"
"1185","National Cancer Center, Japan",3,1,2,4.0477476591761e-12,"24"
"1186","National Cancer Center, Korea",59,5,54,2.66739183065884e-13,"25"
"1187","National Cancer Centre, Singapore",35,3,32,0,"21"
"1188","National Cancer Institute (NCI)",227,207,20,1,"7"
"1189","National Cancer Institute, France",20,19,1,0.000665025736569457,"17"
"1190","National Cancer Institute, Lithuania",5,1,4,0,"10"
"1191","National Cancer Institute, Naples",2,0,2,0,"16"
"1192","National Cancer Institute, Thailand",1,0,1,0,"223"
"1193","National Center for Complementary and Integrative Health (NCCIH)",12,11,1,1.07783853063735e-06,"7"
"1194","National Center for Plastic Surgery, Virginia",4,0,4,0,"7"
"1195","National Center for Tumor Diseases, Heidelberg",6,2,4,2.91344568900836e-08,"16"
"1196","National Center of Oncology, Armenia",1,0,1,0,"224"
"1197","National Cheng-Kung University Hospital",11,5,6,1.08682447780299e-07,"77"
"1198","National Defense Medical Center, Taiwan",7,0,7,0,"77"
"1199","National Health Research Institutes, Taiwan",22,2,20,1.29843571498636e-08,"77"
"1200","National Health Service, United Kingdom",2,1,1,2.24875983391761e-06,"28"
"1201","National Institute of Cancerología",3,0,3,0,"225"
"1202","National Institutes of Health Clinical Center (CC)",1,0,1,0,"7"
"1203","National Naval Medical Center",2,0,2,0,"65"
"1204","National Research Council, Spain",1,0,1,0,"226"
"1205","National Science and Technology Development Agency, Thailand",1,0,1,0,"178"
"1206","National Taipei University of Nursing and Health Sciences",7,2,5,2.5873547416603e-09,"77"
"1207","National Taiwan University Hospital",33,6,27,1.02286961912211e-07,"77"
"1208","National Taiwan University Hospital Hsin-Chu Branch",2,0,2,0,"77"
"1209","National University Hospital, Singapore",25,4,21,0,"21"
"1210","National University of Natural Medicine",1,0,1,0,"31"
"1211","National University of Singapore",5,2,3,0,"21"
"1212","National and Kapodistrian University of Athens",1,0,1,0,"197"
"1213","Navidea Biopharmaceuticals",3,1,2,0,"7"
"1214","Naviscan PET Systems",6,0,6,0,"227"
"1215","Necmettin Erbakan University",2,0,2,0,"14"
"1216","Neil Singla",1,0,1,0,"228"
"1217","Nektar Therapeutics",1,0,1,0,"5"
"1218","Nelson Yee",1,0,1,0,"7"
"1219","Nemours Children's Clinic",1,0,1,0,"229"
"1220","NeoImmuneTech",2,1,1,6.29169390030584e-07,"5"
"1221","NeoTherma Oncology",2,0,2,0,"6"
"1222","Neovii Biotech",2,1,1,4.84708233931344e-14,"5"
"1223","Network Italiano Cure di Supporto in Oncologia",3,0,3,0,"230"
"1224","Nevada Cancer Institute",1,0,1,0,"231"
"1225","New Mexico Cancer Care Alliance",2,0,2,0,"25"
"1226","New York Hospital Queens",1,0,1,0,"232"
"1227","New York Presbyterian Hospital",2,1,1,5.119638927548e-06,"7"
"1228","Newcastle University",6,5,1,1.55943801628739e-07,"24"
"1229","Newcastle-upon-Tyne Hospitals NHS Trust",8,5,3,3.54426458127222e-09,"24"
"1230","Newish Technology (Beijing) Co., Ltd.",3,1,2,5.55843796302235e-11,"1"
"1231","Next Science TM",1,0,1,0,"6"
"1232","Nicholas DeVito, MD",2,0,2,0,"11"
"1233","Nicolaus Copernicus University",1,0,1,0,"19"
"1234","Nicole Hildebrand",2,0,2,0,"16"
"1235","Niguarda Hospital",2,1,1,3.12362623442934e-14,"10"
"1236","Niharika Mettu",1,0,1,0,"5"
"1237","Niramai Health Analytix Private Limited",1,0,1,0,"233"
"1238","Niti Medical Technologies Ltd.",1,0,1,0,"234"
"1239","Nordic Society of Gynaecological Oncology - Clinical Trials Unit",2,0,2,0,"5"
"1240","Nordsjaellands Hospital",6,1,5,9.24606632011638e-09,"13"
"1241","North Central Cancer Treatment Group",9,8,1,0.124643060681088,"7"
"1242","North Eastern German Society of Gynaecological Oncology",3,2,1,5.63801285666481e-08,"28"
"1243","North Tees and Hartlepool NHS Foundation Trust",4,1,3,0,"24"
"1244","NorthShore University HealthSystem",4,0,4,0,"7"
"1245","Northeastern University",1,0,1,0,"235"
"1246","Northern California Melanoma Center",2,0,2,0,"25"
"1247","Northumbria University",6,0,6,0,"24"
"1248","Northwell Health",2,1,1,0,"7"
"1249","Northwestern University",37,10,27,9.56327296179904e-06,"7"
"1250","Norwegian Department of Health and Social Affairs",13,0,13,0,"13"
"1251","Norwegian School of Sport Sciences",4,1,3,2.09035612176145e-08,"13"
"1252","Norwegian University of Science and Technology",6,2,4,2.7079522067773e-08,"13"
"1253","Nottingham University Hospitals NHS Trust",6,3,3,2.26853131825748e-12,"28"
"1254","Nova Scotia Cancer Centre",1,0,1,0,"236"
"1255","Nova Scotia Health Authority",3,2,1,1.73419230922189e-06,"6"
"1256","Nova Southeastern University",1,0,1,0,"237"
"1257","Novacea",1,0,1,0,"7"
"1258","Novartis",120,106,14,0.00933851033260135,"5"
"1259","Novosanis NV",1,0,1,0,"12"
"1260","Nur Aishah Mohd Taib",1,0,1,0,"238"
"1261","OHSU Knight Cancer Institute",25,0,25,0,"31"
"1262","OSI Pharmaceuticals",7,6,1,0.00041743077911415,"7"
"1263","Oana Danciu",1,0,1,0,"5"
"1264","Obafemi Awolowo University Teaching Hospital",12,3,9,5.119638927546e-06,"6"
"1265","Odense University Hospital",40,15,25,3.0538595670321e-07,"13"
"1266","Ohio State University",12,11,1,6.25456615028811e-06,"7"
"1267","Ohio State University Comprehensive Cancer Center",17,2,15,6.7971026564699e-06,"7"
"1268","Okayama University",1,0,1,0,"11"
"1269","Ole Thorlacius-Ussing, MD, DMSc, Professor of Surgery",3,0,3,0,"13"
"1270","Olema Pharmaceuticals, Inc.",1,0,1,0,"5"
"1271","Olivia Newton-John Cancer Research Institute",1,0,1,0,"5"
"1272","Olympus Corporation",6,0,6,0,"7"
"1273","Olympus Europe SE & Co. KG",1,0,1,0,"239"
"1274","OmicsWay Corp.",3,0,3,0,"240"
"1275","OncXerna Theraputics, Inc.",1,0,1,0,"11"
"1276","OncoSec Medical Incorporated",2,1,1,2.20993162720938e-07,"11"
"1277","Oncolys BioPharma Inc",1,0,1,0,"70"
"1278","Oncolytics Biotech",4,2,2,0.0027004883985639,"5"
"1279","Oncomedics",2,1,1,0,"17"
"1280","OnkoZentrum Zürich AG",2,0,2,0,"43"
"1281","Onkovis GmbH",1,0,1,0,"241"
"1282","Ono Pharmaceutical Co. Ltd",9,8,1,0.000679064172719448,"5"
"1283","Ontario Clinical Oncology Group (OCOG)",13,1,12,2.22142149750337e-07,"6"
"1284","Oreste Davide Gentilini",2,0,2,0,"28"
"1285","Organon and Co",1,0,1,0,"242"
"1286","Orient Europharma Co., Ltd.",2,1,1,0,"220"
"1287","Orlando Health, Inc.",2,0,2,0,"243"
"1288","Orlucent, Inc",6,0,6,0,"24"
"1289","Osama Mohammad Ali ElDamshety",2,0,2,0,"10"
"1290","Osama Rahma, MD",2,0,2,0,"5"
"1291","Oscar Nogales",1,0,1,0,"24"
"1292","Osijek University Hospital",1,0,1,0,"244"
"1293","Oslo University Hospital",54,16,38,3.34242368121338e-07,"13"
"1294","Ospedale Policlinico San Martino",10,2,8,1.85637702653268e-08,"10"
"1295","Ospedale Santa Croce-Carle Cuneo",3,0,3,0,"10"
"1296","Ospedale Umberto I di Torino",1,0,1,0,"245"
"1297","Ottawa Heart Institute Research Corporation",4,0,4,0,"5"
"1298","Ottawa Hospital Research Institute",25,2,23,6.85585396514902e-05,"6"
"1299","Otto Metzger, MD",1,0,1,0,"7"
"1300","Oulu University Hospital",9,2,7,1.14669296196633e-11,"142"
"1301","Ourotech, Inc.",1,0,1,0,"11"
"1302","Outcomes4Me",1,0,1,0,"11"
"1303","Oxford University Hospitals NHS Trust",9,2,7,3.33882904360159e-06,"28"
"1304","Ozmosis Research Inc.",3,2,1,1.73419230922238e-06,"6"
"1305","P. Herzen Moscow Oncology Research Institute",1,0,1,0,"246"
"1306","P.O. Witteveen",1,0,1,0,"5"
"1307","PD Dr. med. Volker Heinemann",4,0,4,0,"5"
"1308","PEDRO VILLAREJO CAMPOS",2,0,2,0,"24"
"1309","PIQUR Therapeutics AG",6,0,6,0,"24"
"1310","PTC Therapeutics",1,0,1,0,"7"
"1311","Palleos Healthcare GmbH",12,1,11,0,"5"
"1312","Pamela L. Kunz",1,0,1,0,"7"
"1313","Pamela Munster",1,0,1,0,"247"
"1314","Pancreatic Cancer Research Team",6,0,6,0,"5"
"1315","Paracelsus Medical University",19,0,19,0,"10"
"1316","Parc de Salut Mar",7,2,5,0,"17"
"1317","Parma University Hospital",3,1,2,3.54426458073995e-09,"10"
"1318","Pasche, Boris, M.D.",1,0,1,0,"248"
"1319","Pathfinder Therapeutics",1,0,1,0,"7"
"1320","Patrice Perron",1,0,1,0,"249"
"1321","Patrick Boland",3,0,3,0,"5"
"1322","Patrick Joseph Loehrer Sr.",2,0,2,0,"11"
"1323","Patrick Veit-Haibach",1,0,1,0,"5"
"1324","Paula Silverman, MD",1,0,1,0,"7"
"1325","Peking Union Medical College",8,4,4,2.97917996097548e-10,"1"
"1326","Peking Union Medical College Hospital",99,23,76,1.13563415243613e-09,"1"
"1327","Peking University",73,7,66,3.18939003739601e-10,"1"
"1328","Peking University Cancer Hospital & Institute",76,32,44,4.25274059312708e-09,"1"
"1329","Peking University First Hospital",20,14,6,1.86218950445332e-09,"1"
"1330","Peking University International Hospital",8,2,6,2.43508519730331e-11,"1"
"1331","Peking University People's Hospital",43,16,27,6.43733285722819e-10,"1"
"1332","Peking University Third Hospital",14,9,5,3.33831728933937e-10,"1"
"1333","Pengyuan Liu",1,0,1,0,"250"
"1334","Pennington Biomedical Research Center",1,0,1,0,"7"
"1335","Per Pfeiffer",3,0,3,0,"13"
"1336","PeriPharm",2,0,2,0,"5"
"1337","Periannan Kuppusamy",1,0,1,0,"7"
"1338","Persephone Biosciences",1,0,1,0,"251"
"1339","PersonGen BioTherapeutics (Suzhou) Co., Ltd.",2,0,2,0,"161"
"1340","Peter Kozuch",2,0,2,0,"5"
"1341","Peter MacCallum Cancer Centre, Australia",10,5,5,0.000192645864268142,"21"
"1342","Peter Vilmann MD, DSc, HC, FASGE",3,0,3,0,"252"
"1343","Pfizer",113,96,17,0.0102259962499819,"5"
"1344","Phanes Therapeutics",1,0,1,0,"11"
"1345","PharmAbcine",1,0,1,0,"11"
"1346","Pharmassist Ltd",1,0,1,0,"253"
"1347","Pharmexa A/S",5,0,5,0,"5"
"1348","Philip Philip",1,0,1,0,"7"
"1349","Philips Healthcare",3,2,1,8.18560355681507e-06,"25"
"1350","Photocure",1,0,1,0,"11"
"1351","Piedmont Cancer Institute",5,0,5,0,"11"
"1352","Pierre Fabre Medicament",5,3,2,0.00036125665468908,"5"
"1353","Pierre Fabre Pharma GmbH",5,2,3,1.9646887032419e-12,"5"
"1354","Pittsburgh Mind-Body Center at Carnegie Mellon University",1,0,1,0,"7"
"1355","Pius-Hospital Oldenburg",1,0,1,0,"254"
"1356","Plexxikon",3,2,1,9.66938913349271e-05,"5"
"1357","Poissy-Saint Germain Hospital",2,0,2,0,"10"
"1358","Polish Colorectal Cancer Study Group",4,0,4,0,"19"
"1359","Pomeranian Medical University Szczecin",2,0,2,0,"19"
"1360","Ponderas Academic Hospital",1,0,1,0,"10"
"1361","Pontificia Universidad Catolica de Chile",21,2,19,3.70323736490346e-08,"24"
"1362","Port Said University hospital",1,0,1,0,"10"
"1363","PrECOG, LLC.",3,2,1,7.70175165984634e-05,"5"
"1364","Preben Homøe",2,0,2,0,"13"
"1365","Preben Kjolhede, MD, professor",4,0,4,0,"13"
"1366","Precise Dx, Inc.",1,0,1,0,"7"
"1367","Precision Therapeutics",1,0,1,0,"7"
"1368","Preferred Medicine, Inc",1,0,1,0,"7"
"1369","Presage Biosciences",4,0,4,0,"7"
"1370","Prescient Therapeutics, Ltd.",1,0,1,0,"7"
"1371","Prisma Health-Upstate",1,0,1,0,"255"
"1372","Priyanka Sharma",3,0,3,0,"5"
"1373","Prof. Dr. med. Claus Rödel",2,0,2,0,"16"
"1374","Prof. W. Janni",4,0,4,0,"5"
"1375","Prof. Wolfgang Janni",1,0,1,0,"16"
"1376","Professor David Cunningham",3,0,3,0,"5"
"1377","Professor Fernando Figueira Integral Medicine Institute",1,0,1,0,"5"
"1378","Proton Collaborative Group",1,0,1,0,"256"
"1379","Providence Health & Services",16,4,12,5.94465462651897e-06,"6"
"1380","QIAGEN Gaithersburg, Inc",1,0,1,0,"5"
"1381","Qamar Khan",1,0,1,0,"5"
"1382","Qassim University",1,0,1,0,"24"
"1383","Qidong Gaitianli Medicines Co., Ltd",3,1,2,7.08468522074276e-11,"1"
"1384","Qilu Hospital of Shandong University",28,10,18,1.78586980205375e-09,"1"
"1385","Qilu Pharmaceutical Co., Ltd.",3,2,1,7.37484583064886e-11,"1"
"1386","Qingdao Municipal Hospital",3,2,1,2.27680947602996e-11,"1"
"1387","Qingdao Zhixin Health Technology Co., Ltd.",1,0,1,0,"1"
"1388","Qu Shen",1,0,1,0,"1"
"1389","Quanta Medical",1,0,1,0,"257"
"1390","Quantum Immunologics, Inc.",2,1,1,0,"16"
"1391","QuantumLeap Healthcare Collaborative",2,1,1,0,"247"
"1392","Queen Elizabeth Hospital, Hong Kong",3,2,1,0.0012796800252125,"21"
"1393","Queen Margaret University",1,0,1,0,"258"
"1394","Queen Mary University of London",21,2,19,0,"5"
"1395","Queen's Medical Center",2,1,1,5.59003510174662e-09,"7"
"1396","Queen's University, Belfast",2,0,2,0,"5"
"1397","Queensland Centre for Gynaecological Cancer",1,0,1,0,"1"
"1398","Qun Zhao",1,0,1,0,"1"
"1399","R-Pharm",5,0,5,0,"5"
"1400","RWTH Aachen University",1,0,1,0,"259"
"1401","Rabin Medical Center",4,3,1,2.64156558576678e-07,"4"
"1402","Radboud University Medical Center",53,4,49,1.29021129778203e-06,"16"
"1403","Radiation Therapy Oncology Group",13,6,7,0.076498431552821,"7"
"1404","Ralf Hofheinz",3,0,3,0,"16"
"1405","Rambam Health Care Campus",4,1,3,0,"4"
"1406","Ramsay Générale de Santé",3,0,3,0,"260"
"1407","Raquel Sebio",1,0,1,0,"93"
"1408","Rauscher, Gregory E., M.D. PA",1,0,1,0,"261"
"1409","Read-Gene S.A.",4,0,4,0,"19"
"1410","Regeneron Pharmaceuticals",6,5,1,0.000799620185081906,"5"
"1411","Regina Elena Cancer Institute",38,1,37,1.20441569554664e-12,"10"
"1412","Region Skane",8,1,7,1.3723205529778e-09,"13"
"1413","Region Stockholm",7,0,7,0,"13"
